Time,1,2,3,4,5,6,7,8
6:00,20,71,19,30,15,76,17,32
6:45,19,89,16,56,43,65,18,54
8:45,20,68,19,33,17,71,15,37
13:15,22,76,22,40,19,79,15,47
14:45,43,73,27,37,20,96,28,36
