Time,1,2,3,4,5,6,7,8
6:00, 15, 68, 23, 34, 25, 58, 23, 34
6:45, 24, 79, 27, 50, 33, 70, 32, 45
8:45, 25,	57,	28,	30,	25,	57,	28,	30
13:15, 23,	69,	34,	34,	20,	72,	24,	44
14:45, 24,	81,	32,	43,	22,	83,	28,	47
