,Plan ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Phase ,,1,2,3,4,5,6,7,8,Offset,Pedestrian,2P,4P,6P,8P
,25,20,71,19,30,15,76,17,32,65,Walk,7,7,7,7
,28,19,89,16,56,43,65,18,54,77,Ped Clr,19,23,16,23
,46,20,68,19,33,17,71,15,37,13,,,,,
,61,22,76,22,40,19,79,15,47,68,,,,,
,64,43,73,27,37,20,96,28,36,104,,,,,
Yellow Change ,,4,4,4,4,4,4,4,4,,,,,,
Red Clearence,,1,1.5,1,1,1,1.5,1,1,,,,,,
